game_ID,team_ID,t2_champ1_sum1,t2_champ1_sum2,t2_champ2_sum1,t2_champ2_sum2,t2_champ3_sum1,t2_champ3_sum2,t2_champ4_sum1,t2_champ4_sum2,t2_champ5_sum1,t2_champ5_sum2
3315337879,2,12,4,3,4,4,7,4,14,4,11
3324357625,2,7,4,11,6,4,14,12,4,3,4
3319890638,2,6,4,4,12,4,7,14,4,4,11
3319065982,2,4,11,4,3,12,4,4,7,21,4
3327210456,2,11,4,1,4,14,4,4,14,4,12
3220489176,2,4,3,4,11,14,4,7,4,4,12
3329988115,2,7,4,4,3,11,4,12,4,14,4
3218051336,2,11,4,14,4,4,14,7,4,4,12
3273955910,2,4,14,4,7,4,14,4,11,4,14
3306378109,2,3,4,3,4,12,4,4,7,11,4
3325854973,2,11,4,4,7,14,4,4,12,4,14
3321667006,2,4,7,3,4,4,11,4,12,4,14
3290591993,2,11,6,12,4,4,7,3,4,14,4
3317891706,2,4,11,21,4,7,4,12,4,4,3
3317698956,2,14,4,4,3,4,14,4,11,12,6
3306848074,2,11,4,4,21,4,7,4,14,4,3
3325741387,2,4,11,4,7,14,4,12,4,4,14
3325298155,2,4,11,4,7,14,4,4,14,3,4
3329216618,2,4,7,3,4,3,4,4,12,4,11
3325562798,2,4,12,11,4,4,7,4,3,12,4
3276082388,2,4,14,4,11,4,12,4,7,4,3
3283697742,2,11,4,4,7,4,14,4,12,4,14
3228196248,2,4,11,4,6,3,4,4,7,4,12
3328076986,2,14,4,4,7,4,12,4,3,4,11
3323442409,2,4,7,3,4,4,14,14,4,4,11
3319441119,2,3,4,11,4,4,7,12,4,12,4
3263331345,2,14,4,11,4,12,4,3,4,4,7
3326346692,2,11,4,4,12,4,3,4,14,4,7
3230623742,2,7,4,4,3,11,4,12,4,14,4
3324155100,2,4,12,4,12,4,11,14,4,7,4
3318820361,2,11,4,4,7,4,3,4,12,12,4
3275942117,2,11,4,7,4,4,12,4,14,4,14
3250588648,2,7,4,4,21,4,11,14,4,12,4
3319715822,2,14,4,11,4,3,4,4,12,4,7
3330134587,2,4,3,4,7,11,4,4,12,4,14
3243187691,2,7,4,21,4,3,4,4,14,4,11
3319504763,2,4,21,4,12,4,11,4,3,4,7
3313871700,2,11,4,12,4,4,7,1,4,3,4
3328007564,2,4,14,12,4,4,12,11,4,7,4
3288405925,2,14,4,11,4,4,12,4,3,7,4
3331121626,2,7,4,12,4,14,4,11,4,4,3
3264021701,2,3,4,7,4,12,4,4,11,4,14
3272272302,2,12,4,4,14,4,3,7,4,4,11
3300517697,2,4,14,4,12,4,11,7,4,4,14
3327231780,2,4,14,14,4,4,11,4,3,4,12
3262821388,2,7,4,14,4,11,4,12,4,3,4
3330161935,2,4,3,4,21,4,12,4,7,11,4
3255360670,2,12,4,11,4,4,3,4,7,4,21
3301391824,2,14,4,12,4,11,4,7,4,12,4
3326857244,2,4,7,6,12,4,3,4,11,4,7
3308173394,2,6,4,14,4,7,4,4,11,12,4
3324583766,2,4,7,4,14,4,3,11,4,4,14
3286830044,2,4,7,3,4,11,4,12,4,12,4
3321180520,2,4,3,4,7,4,12,4,11,4,21
3324574640,2,12,4,4,7,11,4,4,12,14,4
3331074547,2,4,3,6,11,4,7,14,4,12,4
3301419496,2,4,11,4,7,3,4,4,14,12,4
3251769268,2,12,4,4,3,4,12,4,7,4,11
3270340382,2,14,4,11,4,4,12,4,14,4,7
3327749176,2,11,4,6,4,4,14,4,3,4,7
3313524001,2,4,12,4,7,4,11,4,14,14,4
3224911519,2,7,4,3,4,21,4,11,4,4,12
3330156484,2,4,3,4,7,4,14,4,12,4,11
3328312961,2,11,4,6,12,4,3,7,4,12,4
3319265700,2,14,4,12,4,4,11,4,3,4,7
3269653607,2,3,4,4,12,4,3,4,7,4,11
3260906125,2,14,4,4,3,7,4,11,6,4,12
3328785302,2,7,4,12,4,4,11,4,12,4,3
3223703864,2,4,14,4,3,4,12,4,11,4,7
3322654390,2,14,4,4,7,4,11,6,12,4,7
3328234136,2,7,4,4,3,11,4,4,3,12,4
3325627631,2,7,4,4,12,12,4,4,11,4,3
3284532496,2,4,11,3,4,7,4,12,4,14,4
3272381153,2,4,11,4,3,4,12,14,4,4,7
3326082621,2,4,14,12,4,11,4,3,4,4,7
3311958899,2,4,14,4,11,4,12,4,3,4,7
3312573466,2,11,4,4,12,4,6,4,7,3,4
3312431187,2,14,4,4,11,4,3,4,7,14,4
3302194558,2,21,4,11,4,4,7,12,4,3,4
3251662809,2,4,3,14,4,11,4,7,4,4,7
3326240768,2,4,21,4,7,3,4,4,12,4,11
3318103812,2,11,4,12,4,4,21,4,14,4,7
3301012424,2,4,11,4,6,4,7,12,4,4,14
3267392992,2,4,12,3,4,7,4,4,14,4,11
3267391330,2,4,3,4,7,1,4,11,4,3,4
3269018594,2,4,12,11,4,14,4,7,4,14,4
3328964815,2,4,3,4,11,12,4,7,4,14,4
3302107954,2,12,4,4,7,4,12,4,3,11,4
3319750527,2,4,7,12,4,6,11,4,12,3,4
3327854927,2,4,11,7,4,14,4,14,4,4,12
3330005841,2,4,14,12,4,4,7,4,12,11,4
3327312174,2,11,4,12,4,4,3,4,7,4,14
3311878126,2,7,4,14,4,4,11,4,3,4,12
3327750180,2,4,12,4,14,7,4,4,11,3,4
3313101016,2,4,6,14,4,11,4,7,4,3,4
3328394869,2,7,4,11,6,4,7,14,4,4,21
3303374774,2,4,12,4,7,4,12,4,11,6,4
3319414022,2,4,12,6,11,3,4,4,7,4,6
3327719813,2,4,12,4,11,21,4,4,7,4,3
3250489148,2,11,4,3,4,4,7,4,12,21,4
3268526507,2,4,7,12,4,4,3,11,4,4,3
3328159295,2,4,7,4,14,3,4,11,4,7,4
3318805980,2,14,4,4,12,4,7,3,4,4,11
3268995334,2,7,4,3,4,14,4,4,12,11,4
3320709530,2,4,12,4,14,4,14,4,11,4,7
3302460478,2,6,4,7,4,11,3,12,4,4,3
3328089735,2,4,12,11,4,4,7,14,4,4,3
3317176408,2,12,4,4,11,4,3,7,4,14,4
3326483498,2,7,4,3,4,12,4,4,3,11,4
3317905544,2,4,11,4,7,4,3,4,14,12,4
3294950911,2,7,4,12,4,4,11,4,3,4,14
3323672407,2,7,4,14,4,4,12,14,4,11,4
3315734875,2,4,6,3,4,12,4,11,4,4,7
3328387679,2,12,4,21,4,4,3,7,4,11,4
3268456088,2,4,3,4,11,4,7,12,4,14,4
3326636755,2,4,21,7,4,3,4,4,12,4,11
3323845047,2,4,7,4,14,11,4,3,4,12,4
3327944229,2,3,4,7,4,6,12,4,12,11,4
3316921960,2,4,12,6,4,7,4,4,11,4,3
3322474567,2,21,4,4,12,4,7,4,14,11,4
3319758452,2,11,4,4,12,7,4,4,14,12,4
3325673179,2,4,14,4,11,3,4,4,7,4,12
3322820449,2,4,3,14,4,4,7,4,14,11,4
3329720081,2,4,11,4,7,4,12,4,12,4,3
3322401093,2,7,4,4,12,12,4,11,4,4,3
3270417825,2,3,4,4,11,7,4,14,4,12,4
3306370662,2,12,4,4,12,4,3,7,4,4,11
3317423113,2,7,4,4,11,4,12,4,3,12,4
3326082547,2,4,7,12,4,4,12,4,11,4,14
3268177018,2,7,4,3,4,4,14,4,11,4,12
3329055593,2,4,3,7,4,11,4,12,4,12,4
3264282808,2,4,14,11,4,7,4,4,12,4,3
3326077834,2,4,12,12,4,3,4,4,11,4,7
3330226790,2,4,12,4,14,11,6,3,4,7,4
3282320058,2,4,3,4,11,7,4,4,14,4,12
3219601300,2,4,7,11,4,4,3,4,21,4,12
3329689529,2,4,12,14,4,11,4,4,3,4,7
3312604936,2,4,11,4,7,3,4,12,4,4,1
3329778948,2,4,12,4,3,7,4,4,21,4,11
3330058470,2,4,14,7,4,3,4,4,11,12,4
3264294396,2,4,7,14,4,6,4,4,11,4,14
3328613861,2,4,3,4,12,4,11,7,4,14,4
3318380700,2,4,7,4,11,1,4,3,4,4,14
3324415951,2,12,4,11,4,4,7,4,1,4,14
3327315341,2,4,12,4,7,21,4,11,4,4,3
3321064899,2,4,3,4,14,11,4,12,4,7,4
3272172999,2,7,4,4,14,14,4,11,4,4,3
3279667560,2,4,7,3,4,4,14,4,11,4,12
3317866875,2,4,12,4,14,4,7,11,4,14,4
3324563211,2,7,4,4,11,14,4,12,4,3,4
3330795683,2,4,14,4,7,4,7,11,4,7,4
3326573564,2,12,4,4,7,12,4,4,3,11,4
3329414334,2,4,12,4,3,11,4,4,7,12,4
3324518365,2,4,11,6,4,4,7,3,4,12,4
3324244777,2,12,4,11,4,3,4,14,4,7,4
3326699508,2,7,4,4,11,4,12,4,3,7,4
3320957193,2,6,4,3,4,4,7,11,4,4,12
3282436590,2,11,4,12,4,3,4,4,7,4,12
3323121160,2,14,4,7,4,4,3,4,11,14,4
3284933630,2,11,4,4,12,12,4,4,7,4,3
3321831849,2,6,4,12,4,4,7,4,3,4,11
3330844042,2,4,3,4,11,4,7,12,4,4,12
3328015188,2,3,4,7,4,14,4,4,11,14,4
3308177850,2,7,4,11,4,12,4,4,12,14,4
3326588233,2,4,12,4,6,4,3,7,4,4,11
3265468475,2,11,6,4,14,12,4,4,7,4,3
3326269913,2,14,4,7,4,12,4,4,11,4,3
3322506068,2,14,4,4,12,14,4,4,7,11,4
3324782051,2,12,4,4,14,4,21,4,7,4,11
3326395910,2,4,7,4,3,4,21,12,4,11,4
3324782657,2,4,7,4,3,12,4,4,14,11,4
3326030906,2,4,14,7,4,3,4,4,12,4,11
3325725264,2,4,14,12,4,11,4,14,4,7,4
3326493514,2,4,3,11,4,4,14,12,4,7,4
3329518491,2,4,12,12,4,4,14,4,11,7,4
3308441904,2,14,4,4,12,4,11,4,14,7,4
3323211469,2,6,12,3,4,4,14,11,4,7,4
3239070398,2,7,4,12,4,4,14,4,3,11,4
3321515466,2,7,4,12,4,4,3,6,4,4,11
3326854781,2,7,4,4,12,12,4,4,11,14,4
3304019968,2,4,12,3,4,1,4,11,4,7,4
3310823148,2,4,3,4,1,4,12,7,4,4,11
3324255773,2,7,4,4,14,4,14,4,11,4,14
3291914262,2,21,4,4,11,3,4,4,12,4,7
3292340308,2,4,14,3,4,7,4,12,4,4,11
3315936069,2,12,4,4,14,4,11,7,4,4,3
3319805911,2,4,1,12,4,3,4,4,7,11,4
3329260934,2,4,3,12,4,4,7,21,4,4,11
3324626165,2,4,7,14,4,11,4,3,4,4,14
3234757204,2,12,4,4,3,12,4,7,4,11,4
