game_ID,team_ID,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
3322654390,2,5,0,1,1,1
3328234136,2,10,2,1,3,0
3325627631,2,0,0,0,0,0
3284532496,2,7,1,0,4,0
3272381153,2,10,2,0,3,0
3326082621,2,6,1,1,2,1
3311958899,2,11,4,1,4,1
3312573466,2,11,5,1,2,0
3312431187,2,5,0,0,0,0
3302194558,2,1,0,0,0,0
3251662809,2,0,0,0,0,0
3326240768,2,4,0,0,0,1
3318103812,2,3,0,0,1,0
3301012424,2,3,0,0,0,0
3267392992,2,2,0,0,2,0
3267391330,2,8,2,1,3,0
3269018594,2,0,0,0,0,0
3328964815,2,8,3,2,1,0
3302107954,2,10,2,0,2,0
3319750527,2,4,0,0,1,0
3327854927,2,1,0,1,3,0
3330005841,2,7,1,0,1,0
3327312174,2,10,2,1,0,0
3311878126,2,8,2,1,4,0
3327750180,2,0,0,0,0,1
3313101016,2,10,3,0,2,0
3328394869,2,1,0,0,0,0
3303374774,2,0,0,0,0,0
3319414022,2,9,2,1,3,1
3327719813,2,6,0,0,2,1
3250489148,2,7,1,0,2,0
3268526507,2,4,1,1,1,1
3328159295,2,4,0,0,0,0
3318805980,2,1,0,0,1,0
3268995334,2,2,0,0,3,1
3320709530,2,3,0,0,1,1
3302460478,2,0,0,0,0,0
3328089735,2,9,1,0,3,0
3317176408,2,1,0,0,1,0
3326483498,2,8,2,0,3,0
3317905544,2,11,4,2,2,1
3294950911,2,8,1,1,2,0
3323672407,2,1,0,0,1,0
3315734875,2,3,0,1,2,1
3328387679,2,6,1,1,2,0
3268456088,2,1,0,0,0,0
3326636755,2,10,2,1,1,0
3323845047,2,6,1,0,1,0
3327944229,2,9,1,1,2,0
3316921960,2,4,0,0,0,0
3322474567,2,0,0,0,0,0
3319758452,2,7,1,1,2,0
3325673179,2,8,1,0,2,0
3322820449,2,9,2,0,1,0
3329720081,2,3,0,0,0,0
3322401093,2,2,0,0,0,0
3270417825,2,11,2,1,2,0
3306370662,2,10,2,1,1,1
3317423113,2,3,0,0,2,0
3326082547,2,8,2,1,2,1
3268177018,2,7,0,1,0,0
3329055593,2,6,1,0,2,1
3264282808,2,10,3,1,2,0
3326077834,2,8,1,1,2,0
3330226790,2,3,0,0,2,1
3282320058,2,8,1,1,1,1
3219601300,2,11,6,3,3,1
3329689529,2,10,2,1,3,0
3312604936,2,0,0,0,0,0
3329778948,2,0,0,0,0,0
3330058470,2,1,0,0,0,0
3264294396,2,1,0,0,0,0
3328613861,2,5,0,0,0,1
3318380700,2,0,0,0,0,0
3324415951,2,11,4,1,3,1
3327315341,2,9,2,0,1,0
3321064899,2,3,0,0,0,0
3272172999,2,1,0,0,0,0
3279667560,2,2,0,0,1,0
3317866875,2,0,0,0,0,0
3324563211,2,8,1,0,3,0
3330795683,2,7,0,0,2,1
3326573564,2,1,0,0,1,0
3329414334,2,8,0,0,1,1
3324518365,2,5,1,0,0,0
3324244777,2,7,1,1,1,0
3326699508,2,2,0,0,2,0
3320957193,2,1,0,0,1,0
3282436590,2,4,0,0,1,1
3323121160,2,4,0,0,0,0
3284933630,2,8,2,1,3,0
3321831849,2,9,1,1,1,1
3330844042,2,8,1,1,2,1
3328015188,2,7,2,1,3,0
3308177850,2,5,0,0,1,0
